product_id,product_name,category,unit_price,unit_cost
5354,Smartwatch Series 5,Electronics,52.99,25.98
8881,Silicone Baking Mat Set,Home & Kitchen,42.0,29.1
5096,Cycling Helmet,Sports & Outdoors,136.0,82.98
8432,WiFi 6 Router,Electronics,39.99,21.8
5311,Smart Plug 4-Pack,Electronics,34.95,20.73
7001,Cordless Vacuum,Home & Kitchen,16.0,8.49
9821,Electric Face Cleanser Brush,Apparel,14.99,6.33
8839,WiFi 6 Router (Graphite),Electronics,31.99,15.93
3061,Yoga Mat 6mm Non-Slip,Sports & Outdoors,24.95,18.1
2697,Swimming Goggles Anti-Fog,Sports & Outdoors,28.99,15.51
9133,"Tablet 10.5"" WiFi",Electronics,27.99,11.98
8260,Vitamin C Serum 20%,Beauty,57.95,41.44
9077,Wireless Earbuds Pro,Electronics,101.99,46.1
6282,Wireless Earbuds Pro (Graphite),Electronics,16.0,9.52
5232,Battle Ropes 40ft,Sports & Outdoors,31.95,13.2
3713,"Cast Iron Skillet 12""",Home & Kitchen,108.49,43.91
6959,Vitamin C Serum 20% (Graphite),Beauty,39.95,27.64
6249,Bamboo Cutting Board Set,Home & Kitchen,70.99,43.95
3150,"27"" Monitor 144Hz",Electronics,52.99,25.76
2027,Smart LED Desk Lamp,Electronics,98.99,73.51
5860,Resistance Bands Set 5-Pack,Sports & Outdoors,178.99,114.67
1645,Aromatherapy Diffuser,Home & Kitchen,22.49,14.43
5238,French Press Coffee Maker,Home & Kitchen,57.95,34.18
6345,Dash Cam Front & Rear,Electronics,42.95,31.94
3398,Non-Stick Cookware Set 10-Piece,Home & Kitchen,161.99,104.68
6653,Silicone Baking Mat Set (Graphite),Home & Kitchen,71.99,52.91
3709,Steam Mop,Home & Kitchen,34.95,26.67
5619,Keratin Smoothing Shampoo,Apparel,28.95,18.84
7479,"27"" Monitor 144Hz (Graphite)",Electronics,85.99,58.38
9705,Shower Curtain Liner,Home & Kitchen,58.99,29.73
1118,Portable Bluetooth Speaker,Electronics,40.99,19.47
4300,Jump Rope Speed,Sports & Outdoors,19.99,10.27
5278,Portable Charger 20000mAh,Electronics,18.99,7.03
9963,Electric Face Cleanser Brush (Graphite),Beauty,108.99,66.94
7693,Memory Foam Pillow,Home & Kitchen,18.99,12.21
7977,Wireless Noise-Cancelling Headphones,Electronics,68.99,51.49
1115,Electric Toothbrush Smart,Electronics,21.99,10.61
9055,Eyebrow Pencil Micro,Beauty,59.99,40.75
5163,Ergonomic Gaming Mouse,Electronics,21.99,16.71
5414,Portable SSD 1TB,Electronics,15.99,7.85
7440,Battle Ropes 40ft (Graphite),Sports & Outdoors,18.49,6.85
1858,Stainless Steel Knife Set,Home & Kitchen,29.95,16.93
9099,Pour-Over Coffee Set,Home & Kitchen,38.99,22.94
2296,Electric Toothbrush Smart (Graphite),Electronics,19.95,7.8
1883,E-Reader Paperwhite,Electronics,318.95,195.34
8509,Hyaluronic Acid Moisturizer,Beauty,180.99,102.07
4852,Digital Kitchen Scale,Home & Kitchen,78.99,46.81
6512,Eyebrow Pencil Micro (Graphite),Beauty,35.99,21.8
9799,Pull-Up Bar Doorframe,Sports & Outdoors,17.95,6.95
4218,Resistance Bands Set 5-Pack (Graphite),Sports & Outdoors,74.99,45.25
9309,Non-Stick Cookware Set 10-Piece (Graphite),Home & Kitchen,24.99,13.57
5345,Air Purifier HEPA,Home & Kitchen,33.99,21.97
8583,Non-Stick Cookware Set 10-Piece (Midnight Blue),Home & Kitchen,63.99,24.05
7861,Battle Ropes 40ft (Midnight Blue),Sports & Outdoors,62.99,41.42
9269,USB-C Laptop Stand,Electronics,63.95,32.94
5183,SPF 50 Sunscreen Lightweight,Beauty,22.99,12.15
2712,Battle Ropes 40ft (Sand),Sports & Outdoors,7.99,3.62
8681,Cordless Vacuum (Graphite),Home & Kitchen,53.99,28.69
7809,E-Reader Paperwhite (Graphite),Electronics,84.99,50.61
4269,Robot Vacuum Pro,Electronics,27.99,19.13
2433,Argan Oil Hair Treatment,Beauty,9.95,7.05
9444,Steam Mop (Graphite),Home & Kitchen,46.95,22.15
2376,Cordless Vacuum (Midnight Blue),Home & Kitchen,21.0,10.98
1896,Jade Roller Face Massager,Beauty,10.99,5.86
7644,Swimming Goggles Anti-Fog (Graphite),Sports & Outdoors,36.99,24.24
1709,Hyaluronic Acid Moisturizer (Graphite),Apparel,128.99,92.72
4647,Argan Oil Hair Treatment (Graphite),Beauty,20.99,13.79
4919,Smartwatch Series 5 (Graphite),Electronics,180.99,69.4
8306,Medicine Ball 15lb,Sports & Outdoors,201.99,119.85
2054,Contour Palette 3 Shades,Beauty,164.0,77.15
6664,Aromatherapy Diffuser (Graphite),Home & Kitchen,136.99,82.73
7394,Cycling Helmet (Graphite),Sports & Outdoors,8.95,3.43
8641,Ergonomic Gaming Mouse (Graphite),Electronics,88.99,63.89
4961,SPF 50 Sunscreen Lightweight (Graphite),Beauty,30.99,12.84
7643,Ceramic Dinnerware Set 12-Piece,Home & Kitchen,15.99,11.02
9572,Shower Curtain Liner (Graphite),Home & Kitchen,19.95,10.42
9148,Setting Powder Translucent,Beauty,77.49,52.6
8985,Aromatherapy Diffuser (Midnight Blue),Home & Kitchen,41.99,28.48
1509,Contour Palette 3 Shades (Graphite),Beauty,56.95,34.88
2519,Digital Kitchen Scale (Graphite),Home & Kitchen,23.99,18.32
9581,SPF 50 Sunscreen Lightweight (Midnight Blue),Apparel,12.99,9.38
6032,French Press Coffee Maker (Graphite),Home & Kitchen,28.95,12.38
5200,Setting Powder Translucent (Graphite),Apparel,314.99,230.81
8454,"Tablet 10.5"" WiFi (Graphite)",Electronics,47.99,25.18
1847,Retinol Night Cream,Beauty,177.99,89.51
5995,Argan Oil Hair Treatment (Midnight Blue),Beauty,35.95,16.34
1358,Agility Ladder,Sports & Outdoors,25.99,9.53
6444,Protein Shaker Bottle,Sports & Outdoors,62.99,42.1
7122,Agility Ladder (Graphite),Sports & Outdoors,30.49,15.69
6489,Foam Roller Deep Tissue,Sports & Outdoors,69.99,32.9
6868,Memory Foam Pillow (Graphite),Home & Kitchen,44.49,28.38
